Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests,All Molecular Tests,All Positive Molecular Tests,Antigen Positive New,Antigen New,Antigen Total
1/22/2020,1,1,0,,0,0,0,1,0,1,0,0,0,0
1/23/2020,2,1,0,,0,0,0,1,0,1,0,0,0,0
1/24/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0,1,0,0,0,0
1/28/2020,3,0,0,,0,0,0,0,0,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0,1,1,0,0,0
1/30/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0,3,0,0,0,0
2/4/2020,9,2,0,,0,0,0,2,0,2,0,0,0,0
2/5/2020,9,0,0,,0,0,0,0,0,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0,1,1,0,0,0
2/7/2020,10,0,0,,0,0,0,0,0,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0,1,0,0,0,0
2/9/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1,1,1,0,0,0
2/11/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/12/2020,12,1,0,,0,0,0,1,0,1,0,0,0,0
2/13/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/14/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/15/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/16/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/17/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/18/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/19/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/20/2020,13,1,0,,0,0,0,0,2,2,1,0,0,0
2/21/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/22/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/23/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/24/2020,13,0,0,,1,1,0,0,2,2,1,0,0,0
2/25/2020,13,0,0,,1,0,0,0,0,0,0,0,0,0
2/26/2020,13,0,0,,1,0,0,0,0,0,0,0,0,0
2/27/2020,13,0,0,,1,0,0,0,0,0,0,0,0,0
2/28/2020,13,0,0,,1,0,0,0,2,2,1,0,0,0
2/29/2020,14,1,0,,1,0,0,1,0,1,0,0,0,0
3/1/2020,16,2,1,,1,0,0,2,2,4,1,0,0,0
3/2/2020,19,3,0,,1,0,0,3,3,6,1,0,0,0
3/3/2020,33,14,1,,2,1,0,14,1,15,1,0,0,0
3/4/2020,52,19,2,,2,0,0,19,3,22,2,0,0,0
3/5/2020,84,32,8,,2,0,0,33,3,36,8,0,0,0
3/6/2020,122,38,14,,2,0,0,42,7,49,14,0,0,0
3/7/2020,206,84,44,,2,0,0,86,14,100,44,0,0,0
3/8/2020,261,55,19,,2,0,0,54,7,61,20,0,0,0
3/9/2020,332,71,5,,2,0,0,76,5,81,7,0,0,0
3/10/2020,436,104,14,,2,0,0,103,6,109,14,0,0,0
3/11/2020,609,173,22,,2,0,0,176,6,182,23,0,0,0
3/12/2020,1026,417,29,,2,0,0,425,7,432,29,0,0,0
3/13/2020,1963,937,61,,2,0,0,971,14,985,64,0,0,0
3/14/2020,2862,899,73,,2,0,0,920,15,935,74,0,0,0
3/15/2020,3889,1027,68,,2,0,0,1057,27,1084,72,0,0,0
3/16/2020,6028,2139,150,,2,0,0,2217,18,2235,152,0,0,0
3/17/2020,8703,2675,249,,2,0,0,2762,28,2790,255,0,0,0
3/18/2020,11681,2978,259,,2,0,0,3070,157,3227,263,0,0,0
3/19/2020,14578,2897,278,,2,0,0,2996,142,3138,286,0,0,0
3/20/2020,18217,3639,388,,2,0,0,3753,124,3877,394,0,0,0
3/21/2020,20747,2530,322,,2,0,0,2604,168,2772,340,0,0,0
3/22/2020,22638,1891,286,,2,0,0,1942,159,2101,298,0,0,0
3/23/2020,26412,3774,609,,2,0,0,3895,202,4097,632,0,0,0
3/24/2020,30394,3982,718,,2,0,0,4112,207,4319,738,0,0,0
3/25/2020,34488,4094,746,,2,0,0,4214,269,4483,792,0,0,0
3/26/2020,38895,4407,936,,2,0,0,4538,298,4836,984,0,0,0
3/27/2020,43253,4358,943,,2,0,0,4474,342,4816,1007,0,0,0
3/28/2020,46051,2798,654,,2,0,0,2870,332,3202,704,0,0,0
3/29/2020,48117,2066,523,,2,0,0,2155,318,2473,576,0,0,0
3/30/2020,53156,5039,1238,,2,0,0,5165,416,5581,1317,0,0,0
3/31/2020,58387,5231,1266,,2,0,0,5460,471,5931,1403,0,0,0
4/1/2020,63305,4918,1339,,2,0,0,5114,464,5578,1425,0,0,0
4/2/2020,68512,5207,1278,,5,3,1,5411,597,6008,1404,0,0,0
4/3/2020,74232,5720,1480,,5,0,0,5938,629,6567,1625,0,0,0
4/4/2020,78202,3970,1163,,9,4,1,4055,690,4745,1322,0,0,0
4/5/2020,81606,3404,977,,9,0,0,3564,540,4104,1078,0,0,0
4/6/2020,88213,6607,1932,,13,4,0,6800,783,7583,2101,0,0,0
4/7/2020,94740,6527,2022,,17,4,0,6656,967,7623,2241,0,0,0
4/8/2020,101506,6766,1864,,19,2,0,6976,983,7959,2107,0,0,0
4/9/2020,107895,6389,1978,,41,22,2,6734,1041,7775,2276,0,0,0
4/10/2020,115447,7552,2054,,42,1,1,7788,1063,8851,2314,0,0,0
4/11/2020,119790,4343,1297,,43,1,0,4493,811,5304,1473,0,0,0
4/12/2020,122802,3012,930,,46,3,2,3089,714,3803,1073,0,0,0
4/13/2020,129074,6272,2017,,54,8,0,6378,1139,7517,2263,0,0,0
4/14/2020,138789,9715,2871,,62,8,2,9850,1498,11348,3214,0,0,0
4/15/2020,148665,9876,2599,,72,10,2,10185,1470,11655,2913,0,0,0
4/16/2020,157515,8850,2387,,93,21,0,8960,1746,10706,2797,0,0,0
4/17/2020,168477,10962,2992,,173,80,5,11345,1781,13126,3324,0,0,0
4/18/2020,174447,5970,1481,,181,8,3,6311,1167,7478,1708,1,1,1
4/19/2020,179006,4559,1089,,191,10,1,4652,943,5595,1267,0,0,1
4/20/2020,189716,10710,2690,,255,64,6,11027,1944,12971,3109,0,0,1
4/21/2020,199106,9390,2188,,331,76,11,9664,2158,11822,2710,0,0,1
4/22/2020,211462,12356,2712,,478,147,17,12662,2737,15399,3230,0,0,1
4/23/2020,222199,10737,2408,,951,473,31,10857,2569,13426,2933,0,0,1
4/24/2020,234510,12311,2283,,1849,898,82,12374,2531,14905,2818,0,0,1
4/25/2020,242685,8175,1496,,2336,487,25,8416,1850,10266,1830,0,0,1
4/26/2020,247548,4863,847,,2791,455,36,4787,1421,6208,1166,0,0,1
4/27/2020,258467,10919,2130,,3933,1142,79,10838,2958,13796,2770,0,0,1
4/28/2020,270682,12215,2107,,5353,1420,83,12264,3014,15278,2767,0,0,1
4/29/2020,283256,12574,2190,,7056,1703,105,12571,2945,15516,2825,0,0,1
4/30/2020,296967,13711,2048,,8433,1377,116,13730,3165,16895,2705,0,0,1
5/1/2020,310993,14026,2084,,10209,1776,130,13975,3314,17289,2732,0,0,1
5/2/2020,318210,7217,1031,,10803,594,57,7301,1896,9197,1412,0,0,1
5/3/2020,323284,5074,735,,11207,404,42,5030,1430,6460,1001,0,1,2
5/4/2020,335250,11966,1881,,13227,2020,162,11838,3607,15445,2710,0,0,2
5/5/2020,347814,12564,1738,,15202,1975,157,12417,3597,16014,2505,0,1,3
5/6/2020,361047,13233,1700,,17180,1978,184,13056,3627,16683,2483,0,0,3
5/7/2020,374457,13410,1683,,19248,2068,173,13399,3691,17090,2469,0,0,3
5/8/2020,387697,13240,1461,,21132,1884,136,13210,3744,16954,2224,0,0,3
5/9/2020,393503,5806,684,,21759,627,38,5706,1983,7689,1025,0,0,3
5/10/2020,396652,3149,386,,22113,354,77,3077,1482,4559,674,0,0,3
5/11/2020,408425,11773,1313,,23952,1839,162,11603,4044,15647,2124,0,0,3
5/12/2020,421670,13245,1456,,25825,1873,148,13056,4305,17361,2270,0,0,3
5/13/2020,435599,13929,1320,,27570,1745,178,13760,4162,17922,2110,1,1,4
5/14/2020,448947,13348,1316,,29201,1631,165,13162,4221,17383,2083,0,0,4
5/15/2020,462729,13782,1107,,30816,1615,141,13606,4209,17815,1852,0,0,4
5/16/2020,469820,7091,650,,31350,534,50,6973,2367,9340,1033,1,1,5
5/17/2020,474107,4287,366,115,31708,358,54,4230,1625,5855,596,3,3,8
5/18/2020,487479,13372,1326,1,33334,1626,137,13175,4441,17616,2144,1,1,9
5/19/2020,499797,12318,1078,0,35038,1704,164,12190,4500,16690,1860,16,82,91
5/20/2020,512608,12811,1020,0,36899,1861,149,12602,4308,16910,1679,12,100,191
5/21/2020,524315,11707,969,0,38605,1706,193,11536,4410,15946,1670,19,282,473
5/22/2020,535338,11023,866,0,40249,1644,158,10863,3949,14812,1504,10,213,686
5/23/2020,540294,4956,390,0,40670,421,41,4897,1816,6713,628,16,197,883
5/24/2020,544384,4090,302,0,40983,313,40,4024,1535,5559,509,15,204,1087
5/25/2020,547486,3102,198,0,41313,330,49,3072,1492,4564,382,20,234,1321
