Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
6/29/2020,16,7911,0,201
6/30/2020,15,7926,0,201
7/1/2020,23,7949,0,201
7/2/2020,20,7969,0,201
7/3/2020,17,7986,0,201
7/4/2020,18,8004,1,202
7/5/2020,18,8022,0,202
7/6/2020,23,8045,0,202
7/7/2020,19,8064,1,203
7/8/2020,28,8092,0,203
7/9/2020,17,8109,0,203
7/10/2020,10,8119,0,203
7/11/2020,11,8130,0,203
7/12/2020,15,8145,1,204
7/13/2020,16,8161,1,205
7/14/2020,18,8179,0,205
7/15/2020,12,8191,0,205
7/16/2020,11,8202,0,205
7/17/2020,16,8218,0,205
7/18/2020,13,8231,0,205
7/19/2020,14,8245,0,205
7/20/2020,9,8254,0,205
7/21/2020,17,8271,0,205
7/22/2020,15,8286,0,205
7/23/2020,14,8300,0,205
7/24/2020,23,8323,0,205
7/25/2020,14,8337,0,205
7/26/2020,14,8351,0,205
7/27/2020,16,8367,1,206
7/28/2020,13,8380,0,206
7/29/2020,14,8394,0,206
7/30/2020,10,8404,0,206
7/31/2020,15,8419,0,206
8/1/2020,19,8438,0,206
8/2/2020,10,8448,0,206
8/3/2020,8,8456,0,206
8/4/2020,14,8470,0,206
8/5/2020,14,8484,0,206
8/6/2020,14,8498,0,206
8/7/2020,15,8513,0,206
8/8/2020,13,8526,0,206
8/9/2020,10,8536,0,206
8/10/2020,14,8550,0,206
8/11/2020,14,8564,0,206
8/12/2020,20,8584,0,206
8/13/2020,12,8596,0,206
8/14/2020,14,8610,0,206
8/15/2020,13,8623,0,206
8/16/2020,13,8636,0,206
8/17/2020,15,8651,0,206
8/18/2020,12,8663,0,206
8/19/2020,16,8679,0,206
8/20/2020,16,8695,0,206
8/21/2020,16,8711,0,206
8/22/2020,16,8727,0,206
8/23/2020,15,8742,0,206
8/24/2020,15,8757,1,207
8/25/2020,17,8774,0,207
8/26/2020,14,8788,0,207
8/27/2020,11,8799,0,207
8/28/2020,14,8813,0,207
8/29/2020,17,8830,0,207
8/30/2020,15,8845,0,207
8/31/2020,12,8857,0,207
9/1/2020,15,8872,0,207
9/2/2020,17,8889,0,207
9/3/2020,11,8900,0,207
9/4/2020,3,8903,1,208
