Date,Positive Total,Positive New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2009,322
3/22/2020,2295,286
3/23/2020,2904,609
3/24/2020,3622,718
3/25/2020,4368,746
3/26/2020,5303,935
3/27/2020,6246,943
3/28/2020,6900,654
3/29/2020,7423,523
3/30/2020,8661,1238
3/31/2020,9927,1266
4/1/2020,11266,1339
4/2/2020,12544,1278
4/3/2020,14024,1480
4/4/2020,15186,1162
4/5/2020,16163,977
4/6/2020,18095,1932
4/7/2020,20117,2022
4/8/2020,21981,1864
4/9/2020,23959,1978
4/10/2020,26013,2054
4/11/2020,27310,1297
4/12/2020,28240,930
4/13/2020,30257,2017
4/14/2020,33128,2871
4/15/2020,35727,2599
4/16/2020,38114,2387
4/17/2020,41105,2991
4/18/2020,42586,1481
4/19/2020,43675,1089
4/20/2020,46363,2688
4/21/2020,48550,2187
4/22/2020,51258,2708
4/23/2020,53665,2407
4/24/2020,55946,2281
4/25/2020,57440,1494
4/26/2020,58285,845
4/27/2020,60415,2130
4/28/2020,62519,2104
4/29/2020,64706,2187
4/30/2020,66753,2047
5/1/2020,68836,2083
5/2/2020,69865,1029
5/3/2020,70599,734
5/4/2020,72479,1880
5/5/2020,74214,1735
5/6/2020,75913,1699
5/7/2020,77592,1679
5/8/2020,79048,1456
5/9/2020,79732,684
5/10/2020,80117,385
5/11/2020,81427,1310
5/12/2020,82878,1451
5/13/2020,84194,1316
5/14/2020,85507,1313
5/15/2020,86612,1105
5/16/2020,87258,646
5/17/2020,87621,363
5/18/2020,88940,1319
5/19/2020,90016,1076
5/20/2020,91030,1014
5/21/2020,91996,966
5/22/2020,92861,865
5/23/2020,93250,389
5/24/2020,93552,302
5/25/2020,93750,198
5/26/2020,94615,865
5/27/2020,95305,690
5/28/2020,95946,641
5/29/2020,96477,531
5/30/2020,96747,270
5/31/2020,96908,161
6/1/2020,97416,508
6/2/2020,97863,447
6/3/2020,98324,461
6/4/2020,98704,380
6/5/2020,99042,338
6/6/2020,99191,149
6/7/2020,99342,151
6/8/2020,99697,355
6/9/2020,100042,345
6/10/2020,100299,257
6/11/2020,100526,227
6/12/2020,100781,255
6/13/2020,100878,97
6/14/2020,100955,77
6/15/2020,101190,235
6/16/2020,101389,199
6/17/2020,101638,249
6/18/2020,101879,241
6/19/2020,102055,176
6/20/2020,102147,92
6/21/2020,102226,79
6/22/2020,102450,224
6/23/2020,102639,189
6/24/2020,102850,211
6/25/2020,103055,205
6/26/2020,103254,199
6/27/2020,103387,133
6/28/2020,103458,71
6/29/2020,103661,203
6/30/2020,103882,221
7/1/2020,104100,218
7/2/2020,104325,225
7/3/2020,104423,98
7/4/2020,104483,60
7/5/2020,104584,101
7/6/2020,104822,238
7/7/2020,105062,240
7/8/2020,105276,214
7/9/2020,105530,254
7/10/2020,105758,228
7/11/2020,105875,117
7/12/2020,105964,89
7/13/2020,106231,267
7/14/2020,106463,232
7/15/2020,106763,300
7/16/2020,107006,243
7/17/2020,107234,228
7/18/2020,107362,128
7/19/2020,107437,75
7/20/2020,107716,279
7/21/2020,107974,258
7/22/2020,108234,260
7/23/2020,108493,259
7/24/2020,108752,259
7/25/2020,108912,160
7/26/2020,109014,102
7/27/2020,109375,361
7/28/2020,109695,320
7/29/2020,110014,319
7/30/2020,110351,337
7/31/2020,110672,321
8/1/2020,110821,149
8/2/2020,110933,112
8/3/2020,111296,363
8/4/2020,111605,309
8/5/2020,111935,330
8/6/2020,112292,357
8/7/2020,112594,302
8/8/2020,112763,169
8/9/2020,112850,87
8/10/2020,113222,372
8/11/2020,113506,284
8/12/2020,113811,305
8/13/2020,114164,353
8/14/2020,114509,345
8/15/2020,114661,152
8/16/2020,114781,120
8/17/2020,115155,374
8/18/2020,115537,382
8/19/2020,115879,342
8/20/2020,116236,357
8/21/2020,116521,285
8/22/2020,116671,150
8/23/2020,116763,92
8/24/2020,117164,401
8/25/2020,117553,389
8/26/2020,117935,382
8/27/2020,118284,349
8/28/2020,118660,376
8/29/2020,118832,172
8/30/2020,118971,139
8/31/2020,119407,436
9/1/2020,119809,402
9/2/2020,120178,369
9/3/2020,120547,369
9/4/2020,120750,203
9/5/2020,120824,74
9/6/2020,120824,0
