Date,Positive Total,Positive New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2009,322
3/22/2020,2295,286
3/23/2020,2904,609
3/24/2020,3622,718
3/25/2020,4368,746
3/26/2020,5304,936
3/27/2020,6247,943
3/28/2020,6901,654
3/29/2020,7424,523
3/30/2020,8662,1238
3/31/2020,9928,1266
4/1/2020,11265,1337
4/2/2020,12543,1278
4/3/2020,14023,1480
4/4/2020,15186,1163
4/5/2020,16163,977
4/6/2020,18095,1932
4/7/2020,20117,2022
4/8/2020,21981,1864
4/9/2020,23959,1978
4/10/2020,26013,2054
4/11/2020,27310,1297
4/12/2020,28239,929
4/13/2020,30256,2017
4/14/2020,33127,2871
4/15/2020,35726,2599
4/16/2020,38113,2387
4/17/2020,41105,2992
4/18/2020,42586,1481
4/19/2020,43675,1089
4/20/2020,46365,2690
4/21/2020,48553,2188
4/22/2020,51265,2712
4/23/2020,53673,2408
4/24/2020,55956,2283
4/25/2020,57452,1496
4/26/2020,58299,847
4/27/2020,60429,2130
4/28/2020,62536,2107
4/29/2020,64726,2190
4/30/2020,66774,2048
5/1/2020,68858,2084
5/2/2020,69889,1031
5/3/2020,70624,735
5/4/2020,72505,1881
5/5/2020,74243,1738
5/6/2020,75943,1700
5/7/2020,77626,1683
5/8/2020,79087,1461
5/9/2020,79771,684
5/10/2020,80157,386
5/11/2020,81470,1313
5/12/2020,82926,1456
5/13/2020,84245,1319
5/14/2020,85561,1316
5/15/2020,86668,1107
5/16/2020,87318,650
5/17/2020,87684,366
5/18/2020,89010,1326
5/19/2020,90088,1078
5/20/2020,91108,1020
5/21/2020,92077,969
5/22/2020,92943,866
5/23/2020,93333,390
5/24/2020,93635,302
5/25/2020,93833,198
5/26/2020,94700,867
5/27/2020,95394,694
5/28/2020,96039,645
5/29/2020,96572,533
5/30/2020,96842,270
5/31/2020,97004,162
6/1/2020,97512,508
6/2/2020,97959,447
6/3/2020,98421,462
6/4/2020,98804,383
6/5/2020,99143,339
6/6/2020,99292,149
6/7/2020,99443,151
6/8/2020,99798,355
6/9/2020,100143,345
6/10/2020,100400,257
6/11/2020,100629,229
6/12/2020,100885,256
6/13/2020,100983,98
6/14/2020,101060,77
6/15/2020,101295,235
6/16/2020,101495,200
6/17/2020,101743,248
6/18/2020,101984,241
6/19/2020,102160,176
6/20/2020,102253,93
6/21/2020,102332,79
6/22/2020,102560,228
6/23/2020,102749,189
6/24/2020,102960,211
6/25/2020,103166,206
6/26/2020,103366,200
6/27/2020,103500,134
6/28/2020,103570,70
6/29/2020,103771,201
6/30/2020,103991,220
7/1/2020,104209,218
7/2/2020,104433,224
7/3/2020,104531,98
7/4/2020,104592,61
7/5/2020,104692,100
7/6/2020,104931,239
7/7/2020,105172,241
7/8/2020,105386,214
7/9/2020,105639,253
7/10/2020,105869,230
7/11/2020,105985,116
7/12/2020,106074,89
7/13/2020,106340,266
7/14/2020,106573,233
7/15/2020,106873,300
7/16/2020,107117,244
7/17/2020,107341,224
7/18/2020,107470,129
7/19/2020,107542,72
7/20/2020,107826,284
7/21/2020,108087,261
7/22/2020,108346,259
7/23/2020,108605,259
7/24/2020,108864,259
7/25/2020,109024,160
7/26/2020,109126,102
7/27/2020,109488,362
7/28/2020,109808,320
7/29/2020,110123,315
7/30/2020,110463,340
7/31/2020,110785,322
8/1/2020,110933,148
8/2/2020,111046,113
8/3/2020,111408,362
8/4/2020,111716,308
8/5/2020,112051,335
8/6/2020,112410,359
8/7/2020,112714,304
8/8/2020,112882,168
8/9/2020,112964,82
8/10/2020,113295,331
8/11/2020,113504,209
8/12/2020,113678,174
8/13/2020,113729,51
8/14/2020,113729,0
