Date,DeathsConfTotal,DeathsConfNew
6/1/2020,6894,48
6/2/2020,6944,50
6/3/2020,7012,68
6/4/2020,7062,50
6/5/2020,7097,35
6/6/2020,7152,55
6/7/2020,7179,27
6/8/2020,7217,38
6/9/2020,7255,38
6/10/2020,7300,45
6/11/2020,7337,37
6/12/2020,7382,45
6/13/2020,7420,38
6/14/2020,7467,47
6/15/2020,7490,23
6/16/2020,7508,18
6/17/2020,7568,60
6/18/2020,7591,23
6/19/2020,7619,28
6/20/2020,7647,28
6/21/2020,7677,30
6/22/2020,7694,17
6/23/2020,7710,16
6/24/2020,7752,42
6/25/2020,7776,24
6/26/2020,7815,39
6/27/2020,7841,26
6/28/2020,7860,19
6/29/2020,7895,35
6/30/2020,7874,0
7/1/2020,7902,28
7/2/2020,7918,16
7/3/2020,7935,17
7/4/2020,7958,23
7/5/2020,7968,10
7/6/2020,7983,15
7/7/2020,7998,15
7/8/2020,8028,30
7/9/2020,8053,25
7/10/2020,8081,28
7/11/2020,8095,14
7/12/2020,8110,15
7/13/2020,8115,5
7/14/2020,8125,10
7/15/2020,8152,27
7/16/2020,8163,11
7/17/2020,8184,21
7/18/2020,8201,17
7/19/2020,8213,12
7/20/2020,8214,1
7/21/2020,8231,17
7/22/2020,8249,18
7/23/2020,8265,16
7/24/2020,8279,14
7/25/2020,8291,12
7/26/2020,8310,19
7/27/2020,8317,7
7/28/2020,8331,14
7/29/2020,8360,29
7/30/2020,8375,15
7/31/2020,8389,14
8/1/2020,8406,17
8/2/2020,8417,11
8/3/2020,8427,10
8/4/2020,8436,9
8/5/2020,8438,2
8/6/2020,8470,32
8/7/2020,8488,18
8/8/2020,8500,12
8/9/2020,8514,14
8/10/2020,8519,5
8/11/2020,8529,10
8/12/2020,8547,18
8/13/2020,8568,21
8/14/2020,8582,14
